,Product_Name,Review,Sentiment,Star
0,American Tourist Bag,bad,Negative,1 ⭐
1,American Tourist Bag,bad,Negative,1 ⭐
2,American Tourist Bag,Good,Positive,5 ⭐
3,American Tourist Bag,"The product quality is medium quality, where the material is good but the design is compromised.",Negative,1 ⭐
4,American Tourist Bag,"The product quality is medium quality, where the material is good, but the design is compromised but its worth money, looking into price its a good choice.",Negative,1 ⭐
5,American Tourist Bag,"The product quality is medium quality, where the material is good, but the design is compromised but its worth money, looking into price its a very good choice.",Negative,1 ⭐
6,American Tourist Bag,"The product quality is medium, where the material is good, but the design is compromised but its worth money, looking into price its a very good choice, so I would recommend everyone to buy this product.",Negative,1 ⭐
7,American Tourist Bag,"The product quality is not that bad, where the material is good, but the design is compromised but its worth money, looking into price its a very good choice, so I would recommend everyone to buy this product.",Negative,1 ⭐
8,American Tourist Bag,"The product quality is not bad, where the material is good, but the design is compromised but its worth money, looking into price its a very good choice, so I would recommend everyone to buy this product.",Negative,1 ⭐
9,American Tourist Bag,"The product quality is not good, where the material is good, but the design is compromised but its worth money, looking into price its a very good choice, so I would recommend everyone to buy this product.",Negative,1 ⭐
10,American Tourist Bag,"The product quality is good, where the material is good, but the design is compromised but its worth money, looking into price its a very good choice, so I would recommend everyone to buy this product.",Negative,1 ⭐
11,American Tourist Bag,"The product quality is good, where the material is good,  its worth money, looking into price its a very good choice, so I would recommend everyone to buy this product.",Negative,1 ⭐
12,American Tourist Bag,"The product quality is good, where the material is good,  its worth the money, looking into price it's a very good choice, so I would recommend everyone to buy this product.",Negative,1 ⭐
13,American Tourist Bag,"The product quality is fantastic, where the material is good,  its worth the money, looking into price it's a very good choice, so I would recommend everyone to buy this product.",Negative,1 ⭐
14,American Tourist Bag,"The product quality is fantastic, where the material is good,  its worth the money, looking into price it's a very good choice.",Negative,1 ⭐
15,American Tourist Bag,"The product quality is fantastic, .",Negative,1 ⭐
16,American Tourist Bag,The product quality is fantastic.,Negative,1 ⭐
17,American Tourist Bag,The product is fantastic.,Negative,1 ⭐
18,American Tourist Bag,fantastic.,Positive,5 ⭐
19,American Tourist Bag,"fantastic where the material is good,  its worth the money, looking into price it's a very good choice",Neutral,2 ⭐
20,American Tourist Bag,"fantastic where the material is good, it worth the money, looking into price it's a very good choice",Neutral,2 ⭐
21,American Tourist Bag,"fantastic where the material is good, it worth the money, looking into the price it's a very good choice",Neutral,2 ⭐
22,American Tourist Bag,fantastic where the material is good,Neutral,3 ⭐
23,American Tourist Bag,"fantastic , the material is good",Neutral,3 ⭐
24,American Tourist Bag,"fantastic product, the material is good",Negative,1 ⭐
25,American Tourist Bag,"fantastic, and the material is good",Neutral,3 ⭐
